name             n    m
ta001            20   5
ta002            20   5
ta003            20   5
ta004            20   5
ta005            20   5
ta006            20   5
ta007            20   5
ta008            20   5
ta009            20   5
ta010            20   5
ta011            20   10
ta012            20   10
ta013            20   10
ta014            20   10
ta015            20   10
ta016            20   10
ta017            20   10
ta018            20   10
ta019            20   10
ta020            20   10
ta021            20   20
ta022            20   20
ta023            20   20
ta024            20   20
ta025            20   20
ta026            20   20
ta027            20   20
ta028            20   20
ta029            20   20
ta030            20   20
ta031            50   5
ta032            50   5
ta033            50   5
ta034            50   5
ta035            50   5
ta036            50   5
ta037            50   5
ta038            50   5
ta039            50   5
ta040            50   5
ta041            50   10
ta042            50   10
ta043            50   10
ta044            50   10
ta045            50   10
ta046            50   10
ta047            50   10
ta048            50   10
ta049            50   10
ta050            50   10
ta051            50   20
ta052            50   20
ta053            50   20
ta054            50   20
ta055            50   20
ta056            50   20
ta057            50   20
ta058            50   20
ta059            50   20
ta060            50   20
