name             ub
ta001            1278
ta002            1359
ta003            1081
ta004            1293
ta005            1235
ta006            1195
ta007            1234
ta008            1206
ta009            1230
ta010            1108
ta011            1582
ta012            1659
ta013            1496
ta014            1377
ta015            1419
ta016            1397
ta017            1484
ta018            1538
ta019            1593
ta020            1591
ta021            2297
ta022            2099
ta023            2326
ta024            2223
ta025            2291
ta026            2226
ta027            2273
ta028            2200
ta029            2237
ta030            2178
ta031            2724
ta032            2834
ta033            2621
ta034            2751
ta035            2863
ta036            2829
ta037            2725
ta038            2683
ta039            2552
ta040            2782
ta041            2991
ta042            2867
ta043            2839
ta044            3063
ta045            2976
ta046            3006
ta047            3093
ta048            3037
ta049            2897
ta050            3065
ta051            3850
ta052            3704
ta053            3640
ta054            3723
ta055            3611
ta056            3681
ta057            3704
ta058            3691
ta059            3743
ta060            3756
