alg,instance,rep,time,iterations,value
FI,ta001,1,0.10965,NA,1229
FI,ta001,2,0.000139,NA,1203
FI,ta001,3,5.9e-5,NA,1159
FI,ta001,4,5.8e-5,NA,1150
FI,ta001,5,5.0e-5,NA,1137
FI,ta001,6,6.4e-5,NA,1119
FI,ta001,7,6.6e-5,NA,1104
FI,ta001,8,6.2e-5,NA,1102
FI,ta001,9,4.9e-5,NA,1066
FI,ta001,10,5.8e-5,NA,1059
FI,ta001,11,0.000114,NA,1059
FI,ta001,12,6.4e-5,NA,1059
FI,ta001,13,5.0e-5,NA,1047
FI,ta001,14,5.9e-5,NA,1035
FI,ta001,15,5.8e-5,NA,1010
FI,ta001,16,6.5e-5,NA,1000
FI,ta001,17,5.0e-5,NA,992
FI,ta001,18,5.8e-5,NA,978
FI,ta001,19,4.9e-5,NA,976
FI,ta001,20,7.3e-5,NA,942
FI,ta001,21,4.3e-5,NA,935
FI,ta001,22,9.6e-5,NA,927
FI,ta001,23,4.9e-5,NA,927
FI,ta001,24,4.2e-5,NA,901
FI,ta001,25,5.7e-5,NA,901
FI,ta001,26,5.7e-5,NA,901
FI,ta001,27,6.7e-5,NA,897
FI,ta001,28,5.3e-5,NA,895
FI,ta001,29,5.2e-5,NA,895
FI,ta001,30,7.4e-5,NA,895
FI,ta001,31,4.3e-5,NA,894
FI,ta001,32,4.6e-5,NA,877
FI,ta001,33,5.7e-5,NA,877
FI,ta001,34,5.4e-5,NA,870
FI,ta001,35,6.2e-5,NA,870
FI,ta001,36,7.0e-5,NA,870
FI,ta001,37,0.000108,NA,869
FI,ta001,38,6.9e-5,NA,869
FI,ta001,39,4.7e-5,NA,865
FI,ta001,40,6.9e-5,NA,865
FI,ta001,41,4.6e-5,NA,859
FI,ta001,42,6.8e-5,NA,859
FI,ta001,43,4.7e-5,NA,847
FI,ta001,44,5.6e-5,NA,842
FI,ta001,45,5.9e-5,NA,842
FI,ta001,46,5.6e-5,NA,841
FI,ta001,47,5.9e-5,NA,841
FI,ta001,48,8.3e-5,NA,841
FI,ta001,49,5.9e-5,NA,841
FI,ta001,50,6.7e-5,NA,841
FI,ta001,51,5.8e-5,NA,841
FI,ta001,52,0.000124,NA,841
FI,ta001,53,7.4e-5,NA,841
FI,ta001,54,6.8e-5,NA,841
FI,ta001,55,5.8e-5,NA,841
FI,ta001,56,9.2e-5,NA,841
FI,ta001,57,4.9e-5,NA,839
FI,ta001,58,6.7e-5,NA,839
FI,ta001,59,5.8e-5,NA,839
FI,ta001,60,7.9e-5,NA,839
FI,ta001,61,5.8e-5,NA,839
FI,ta001,62,8.6e-5,NA,839
FI,ta001,63,0.000132,NA,839
FI,ta001,64,8.1e-5,NA,839
FI,ta001,65,7.4e-5,NA,839
FI,ta001,66,8.0e-5,NA,839
FI,ta001,67,6.9e-5,NA,839
FI,ta001,68,8.3e-5,NA,839
FI,ta001,69,7.0e-5,NA,839
FI,ta001,70,8.1e-5,NA,839
FI,ta001,71,7.2e-5,NA,839
FI,ta001,72,8.0e-5,NA,839
FI,ta001,73,7.1e-5,NA,839
FI,ta001,74,0.00013,NA,839
FI,ta001,75,7.4e-5,NA,839
FI,ta001,76,8.0e-5,NA,839
FI,ta001,77,6.9e-5,NA,839
FI,ta001,78,6.9e-5,NA,839
FI,ta001,79,7.2e-5,NA,839
FI,ta001,80,8.2e-5,NA,839
FI,ta001,81,7.1e-5,NA,839
FI,ta001,82,8.1e-5,NA,839
FI,ta001,83,0.00073,NA,839
FI,ta001,84,9.0e-5,NA,839
FI,ta001,85,6.5e-5,NA,839
FI,ta001,86,8.3e-5,NA,839
FI,ta001,87,7.1e-5,NA,839
FI,ta001,88,8.5e-5,NA,839
FI,ta001,89,7.6e-5,NA,839
FI,ta001,90,8.0e-5,NA,839
FI,ta001,91,7.4e-5,NA,839
FI,ta001,92,8.2e-5,NA,839
FI,ta001,93,7.6e-5,NA,839
FI,ta001,94,8.3e-5,NA,839
FI,ta001,95,7.8e-5,NA,839
FI,ta001,96,8.5e-5,NA,839
FI,ta001,97,7.0e-5,NA,839
FI,ta001,98,8.3e-5,NA,839
FI,ta001,99,7.6e-5,NA,839
FI,ta001,100,8.6e-5,NA,839
BI,ta001,1,8.5e-5,NA,1166
BI,ta001,2,7.3e-5,NA,1157
BI,ta001,3,8.4e-5,NA,1139
BI,ta001,4,0.000117,NA,1082
BI,ta001,5,8.5e-5,NA,1019
BI,ta001,6,0.000138,NA,956
BI,ta001,7,9.4e-5,NA,950
BI,ta001,8,0.000114,NA,904
BI,ta001,9,0.0001,NA,903
BI,ta001,10,9.8e-5,NA,896
BI,ta001,11,9.0e-5,NA,887
BI,ta001,12,0.000114,NA,887
BI,ta001,13,7.2e-5,NA,887
BI,ta001,14,8.2e-5,NA,887
BI,ta001,15,0.000199,NA,887
BI,ta001,16,0.0001,NA,887
BI,ta001,17,7.8e-5,NA,887
BI,ta001,18,6.7e-5,NA,885
BI,ta001,19,8.0e-5,NA,885
BI,ta001,20,6.4e-5,NA,858
BI,ta001,21,7.7e-5,NA,858
BI,ta001,22,7.1e-5,NA,858
BI,ta001,23,8.0e-5,NA,858
BI,ta001,24,0.000223,NA,857
BI,ta001,25,9.0e-5,NA,857
BI,ta001,26,0.000127,NA,857
BI,ta001,27,0.00021,NA,846
BI,ta001,28,8.0e-5,NA,846
BI,ta001,29,0.000159,NA,846
BI,ta001,30,0.00021,NA,846
BI,ta001,31,0.0001,NA,843
BI,ta001,32,8.4e-5,NA,843
BI,ta001,33,8.0e-5,NA,843
BI,ta001,34,7.0e-5,NA,843
BI,ta001,35,7.5e-5,NA,843
BI,ta001,36,0.000242,NA,843
BI,ta001,37,9.5e-5,NA,843
BI,ta001,38,7.1e-5,NA,843
BI,ta001,39,8.9e-5,NA,842
BI,ta001,40,7.1e-5,NA,842
BI,ta001,41,8.4e-5,NA,842
BI,ta001,42,7.7e-5,NA,842
BI,ta001,43,7.3e-5,NA,842
BI,ta001,44,6.8e-5,NA,842
BI,ta001,45,8.2e-5,NA,842
BI,ta001,46,7.2e-5,NA,842
BI,ta001,47,8.2e-5,NA,842
BI,ta001,48,8.8e-5,NA,842
BI,ta001,49,0.00013,NA,842
BI,ta001,50,7.2e-5,NA,842
BI,ta001,51,7.4e-5,NA,842
BI,ta001,52,7.0e-5,NA,842
BI,ta001,53,8.0e-5,NA,842
BI,ta001,54,6.7e-5,NA,842
BI,ta001,55,7.2e-5,NA,842
BI,ta001,56,7.2e-5,NA,842
BI,ta001,57,8.4e-5,NA,842
BI,ta001,58,7.1e-5,NA,842
BI,ta001,59,8.0e-5,NA,842
BI,ta001,60,0.000122,NA,842
BI,ta001,61,7.3e-5,NA,842
BI,ta001,62,7.2e-5,NA,842
BI,ta001,63,8.2e-5,NA,842
BI,ta001,64,6.7e-5,NA,842
BI,ta001,65,7.4e-5,NA,842
BI,ta001,66,0.000724,NA,842
BI,ta001,67,8.2e-5,NA,842
BI,ta001,68,7.3e-5,NA,842
BI,ta001,69,8.0e-5,NA,842
BI,ta001,70,7.4e-5,NA,842
BI,ta001,71,8.5e-5,NA,842
BI,ta001,72,7.4e-5,NA,842
BI,ta001,73,8.6e-5,NA,842
BI,ta001,74,8.7e-5,NA,842
BI,ta001,75,0.000136,NA,842
BI,ta001,76,7.4e-5,NA,842
BI,ta001,77,8.3e-5,NA,842
BI,ta001,78,8.1e-5,NA,842
BI,ta001,79,7.7e-5,NA,842
BI,ta001,80,7.5e-5,NA,842
BI,ta001,81,7.7e-5,NA,842
BI,ta001,82,7.4e-5,NA,842
BI,ta001,83,8.6e-5,NA,842
BI,ta001,84,7.2e-5,NA,842
BI,ta001,85,0.000142,NA,842
BI,ta001,86,7.3e-5,NA,842
BI,ta001,87,8.5e-5,NA,842
BI,ta001,88,7.0e-5,NA,842
BI,ta001,89,7.5e-5,NA,842
BI,ta001,90,6.9e-5,NA,842
BI,ta001,91,8.3e-5,NA,842
BI,ta001,92,7.5e-5,NA,842
BI,ta001,93,8.6e-5,NA,842
BI,ta001,94,8.5e-5,NA,842
BI,ta001,95,0.000105,NA,842
BI,ta001,96,0.000154,NA,842
BI,ta001,97,8.1e-5,NA,842
BI,ta001,98,8.0e-5,NA,842
BI,ta001,99,8.2e-5,NA,842
BI,ta001,100,7.6e-5,NA,842
FI,ta002,1,5.6e-5,NA,1434
FI,ta002,2,0.00017,NA,1417
FI,ta002,3,7.6e-5,NA,1388
FI,ta002,4,6.5e-5,NA,1303
FI,ta002,5,5.3e-5,NA,1260
FI,ta002,6,6.4e-5,NA,1205
FI,ta002,7,5.3e-5,NA,1155
FI,ta002,8,6.4e-5,NA,1129
FI,ta002,9,5.1e-5,NA,1110
FI,ta002,10,6.5e-5,NA,1021
FI,ta002,11,5.1e-5,NA,974
FI,ta002,12,6.2e-5,NA,905
FI,ta002,13,5.1e-5,NA,844
FI,ta002,14,6.1e-5,NA,819
FI,ta002,15,5.3e-5,NA,744
FI,ta002,16,8.1e-5,NA,667
FI,ta002,17,5.5e-5,NA,594
FI,ta002,18,6.6e-5,NA,581
FI,ta002,19,5.2e-5,NA,523
FI,ta002,20,0.000138,NA,523
FI,ta002,21,5.4e-5,NA,454
FI,ta002,22,8.7e-5,NA,454
FI,ta002,23,7.7e-5,NA,454
FI,ta002,24,8.4e-5,NA,454
FI,ta002,25,7.6e-5,NA,454
FI,ta002,26,8.7e-5,NA,454
FI,ta002,27,9.2e-5,NA,454
FI,ta002,28,8.4e-5,NA,454
FI,ta002,29,8.4e-5,NA,454
FI,ta002,30,0.00013,NA,454
FI,ta002,31,7.3e-5,NA,454
FI,ta002,32,8.5e-5,NA,454
FI,ta002,33,8.2e-5,NA,454
FI,ta002,34,8.3e-5,NA,454
FI,ta002,35,7.5e-5,NA,454
FI,ta002,36,8.4e-5,NA,454
FI,ta002,37,7.6e-5,NA,454
FI,ta002,38,8.2e-5,NA,454
FI,ta002,39,7.1e-5,NA,454
FI,ta002,40,0.000141,NA,454
FI,ta002,41,7.2e-5,NA,454
FI,ta002,42,8.4e-5,NA,454
FI,ta002,43,7.5e-5,NA,454
FI,ta002,44,8.0e-5,NA,454
FI,ta002,45,7.4e-5,NA,454
FI,ta002,46,8.1e-5,NA,454
FI,ta002,47,7.3e-5,NA,454
FI,ta002,48,8.2e-5,NA,454
FI,ta002,49,0.000733,NA,454
FI,ta002,50,0.000113,NA,454
FI,ta002,51,7.6e-5,NA,454
FI,ta002,52,8.0e-5,NA,454
FI,ta002,53,7.9e-5,NA,454
FI,ta002,54,8.0e-5,NA,454
FI,ta002,55,0.000124,NA,454
FI,ta002,56,0.000124,NA,454
FI,ta002,57,8.1e-5,NA,454
FI,ta002,58,8.7e-5,NA,454
FI,ta002,59,7.6e-5,NA,454
FI,ta002,60,0.000104,NA,454
FI,ta002,61,8.1e-5,NA,454
FI,ta002,62,8.9e-5,NA,454
FI,ta002,63,0.000147,NA,454
FI,ta002,64,8.9e-5,NA,454
FI,ta002,65,9.4e-5,NA,454
FI,ta002,66,9.0e-5,NA,454
FI,ta002,67,7.7e-5,NA,454
FI,ta002,68,8.6e-5,NA,454
FI,ta002,69,8.0e-5,NA,454
FI,ta002,70,0.000263,NA,454
FI,ta002,71,0.000231,NA,454
FI,ta002,72,0.000344,NA,454
FI,ta002,73,0.000185,NA,454
FI,ta002,74,9.4e-5,NA,454
FI,ta002,75,8.0e-5,NA,454
FI,ta002,76,8.0e-5,NA,454
FI,ta002,77,7.8e-5,NA,454
FI,ta002,78,9.3e-5,NA,454
FI,ta002,79,8.7e-5,NA,454
FI,ta002,80,8.2e-5,NA,454
FI,ta002,81,0.000132,NA,454
FI,ta002,82,0.000182,NA,454
FI,ta002,83,0.000116,NA,454
FI,ta002,84,9.6e-5,NA,454
FI,ta002,85,8.6e-5,NA,454
FI,ta002,86,9.6e-5,NA,454
FI,ta002,87,7.7e-5,NA,454
FI,ta002,88,8.0e-5,NA,454
FI,ta002,89,7.4e-5,NA,454
FI,ta002,90,0.000108,NA,454
FI,ta002,91,0.000146,NA,454
FI,ta002,92,9.4e-5,NA,454
FI,ta002,93,7.9e-5,NA,454
FI,ta002,94,7.3e-5,NA,454
FI,ta002,95,7.5e-5,NA,454
FI,ta002,96,7.7e-5,NA,454
FI,ta002,97,6.6e-5,NA,454
FI,ta002,98,8.2e-5,NA,454
FI,ta002,99,8.4e-5,NA,454
FI,ta002,100,7.5e-5,NA,454
BI,ta002,1,0.000129,NA,1376
BI,ta002,2,7.7e-5,NA,1376
BI,ta002,3,8.0e-5,NA,1336
BI,ta002,4,7.0e-5,NA,1255
BI,ta002,5,8.0e-5,NA,1255
BI,ta002,6,8.6e-5,NA,1208
BI,ta002,7,8.2e-5,NA,1203
BI,ta002,8,7.5e-5,NA,1200
BI,ta002,9,7.8e-5,NA,1197
BI,ta002,10,6.8e-5,NA,1197
BI,ta002,11,7.9e-5,NA,1197
BI,ta002,12,0.000133,NA,1197
BI,ta002,13,8.5e-5,NA,1189
BI,ta002,14,6.8e-5,NA,1148
BI,ta002,15,7.9e-5,NA,1141
BI,ta002,16,6.5e-5,NA,1141
BI,ta002,17,8.6e-5,NA,1141
BI,ta002,18,6.8e-5,NA,1141
BI,ta002,19,8.0e-5,NA,1141
BI,ta002,20,7.6e-5,NA,1141
BI,ta002,21,8.1e-5,NA,1141
BI,ta002,22,0.000141,NA,1123
BI,ta002,23,8.0e-5,NA,1123
BI,ta002,24,7.0e-5,NA,1123
BI,ta002,25,7.3e-5,NA,1089
BI,ta002,26,8.1e-5,NA,1089
BI,ta002,27,9.1e-5,NA,1089
BI,ta002,28,7.4e-5,NA,1077
BI,ta002,29,8.2e-5,NA,1077
BI,ta002,30,6.6e-5,NA,1077
BI,ta002,31,7.0e-5,NA,1077
BI,ta002,32,0.000759,NA,1077
BI,ta002,33,8.0e-5,NA,1077
BI,ta002,34,8.4e-5,NA,1077
BI,ta002,35,6.5e-5,NA,1077
BI,ta002,36,7.5e-5,NA,1077
BI,ta002,37,0.000146,NA,1077
BI,ta002,38,7.2e-5,NA,1077
BI,ta002,39,9.6e-5,NA,1077
BI,ta002,40,7.9e-5,NA,1077
BI,ta002,41,7.2e-5,NA,1077
BI,ta002,42,7.7e-5,NA,1077
BI,ta002,43,0.000129,NA,1077
BI,ta002,44,7.8e-5,NA,1077
BI,ta002,45,8.1e-5,NA,1077
BI,ta002,46,8.6e-5,NA,1077
BI,ta002,47,6.8e-5,NA,1077
BI,ta002,48,9.4e-5,NA,1077
BI,ta002,49,8.5e-5,NA,1077
BI,ta002,50,6.8e-5,NA,1077
BI,ta002,51,7.2e-5,NA,1077
BI,ta002,52,7.6e-5,NA,1077
BI,ta002,53,8.0e-5,NA,1077
BI,ta002,54,6.4e-5,NA,1077
BI,ta002,55,8.3e-5,NA,1077
BI,ta002,56,7.2e-5,NA,1077
BI,ta002,57,0.000135,NA,1077
BI,ta002,58,7.8e-5,NA,1077
BI,ta002,59,0.000108,NA,1077
BI,ta002,60,0.000102,NA,1077
BI,ta002,61,0.000106,NA,1077
BI,ta002,62,0.000166,NA,1077
BI,ta002,63,8.0e-5,NA,1077
BI,ta002,64,6.6e-5,NA,1077
BI,ta002,65,7.1e-5,NA,1077
BI,ta002,66,0.000119,NA,1077
BI,ta002,67,7.9e-5,NA,1077
BI,ta002,68,8.2e-5,NA,1077
BI,ta002,69,7.2e-5,NA,1077
BI,ta002,70,7.3e-5,NA,1077
BI,ta002,71,7.2e-5,NA,1077
BI,ta002,72,7.4e-5,NA,1077
BI,ta002,73,7.2e-5,NA,1077
BI,ta002,74,6.6e-5,NA,1077
BI,ta002,75,9.2e-5,NA,1077
BI,ta002,76,7.3e-5,NA,1077
BI,ta002,77,8.6e-5,NA,1077
BI,ta002,78,7.5e-5,NA,1077
BI,ta002,79,6.4e-5,NA,1077
BI,ta002,80,7.2e-5,NA,1077
BI,ta002,81,8.3e-5,NA,1077
BI,ta002,82,7.7e-5,NA,1077
BI,ta002,83,8.1e-5,NA,1077
BI,ta002,84,7.3e-5,NA,1077
BI,ta002,85,7.9e-5,NA,1059
BI,ta002,86,6.3e-5,NA,1059
BI,ta002,87,7.3e-5,NA,1059
BI,ta002,88,7.5e-5,NA,1059
BI,ta002,89,0.000141,NA,1059
BI,ta002,90,7.4e-5,NA,1059
BI,ta002,91,8.3e-5,NA,1059
BI,ta002,92,7.1e-5,NA,1059
BI,ta002,93,8.2e-5,NA,1059
BI,ta002,94,7.0e-5,NA,1059
BI,ta002,95,8.3e-5,NA,1059
BI,ta002,96,7.7e-5,NA,1059
BI,ta002,97,8.0e-5,NA,1059
BI,ta002,98,9.0e-5,NA,1059
BI,ta002,99,0.000146,NA,1059
BI,ta002,100,7.7e-5,NA,1059
FI,ta003,1,5.1e-5,NA,1315
FI,ta003,2,6.1e-5,NA,1293
FI,ta003,3,5.1e-5,NA,1228
FI,ta003,4,6.3e-5,NA,1159
FI,ta003,5,5.1e-5,NA,1141
FI,ta003,6,6.3e-5,NA,1096
FI,ta003,7,4.8e-5,NA,1052
FI,ta003,8,6.2e-5,NA,1043
FI,ta003,9,5.9e-5,NA,1017
FI,ta003,10,9.6e-5,NA,1017
FI,ta003,11,0.000132,NA,978
FI,ta003,12,0.000129,NA,946
FI,ta003,13,5.5e-5,NA,915
FI,ta003,14,6.1e-5,NA,910
FI,ta003,15,0.000745,NA,898
FI,ta003,16,7.2e-5,NA,867
FI,ta003,17,5.3e-5,NA,818
FI,ta003,18,0.000108,NA,818
FI,ta003,19,8.0e-5,NA,818
FI,ta003,20,0.0001,NA,818
FI,ta003,21,8.0e-5,NA,818
FI,ta003,22,8.9e-5,NA,818
FI,ta003,23,6.0e-5,NA,813
FI,ta003,24,9.6e-5,NA,813
FI,ta003,25,5.6e-5,NA,809
FI,ta003,26,0.000202,NA,802
FI,ta003,27,6.1e-5,NA,771
FI,ta003,28,8.7e-5,NA,771
FI,ta003,29,5.9e-5,NA,756
FI,ta003,30,8.0e-5,NA,737
FI,ta003,31,6.0e-5,NA,730
FI,ta003,32,8.1e-5,NA,730
FI,ta003,33,6.3e-5,NA,722
FI,ta003,34,0.000132,NA,707
FI,ta003,35,5.8e-5,NA,705
FI,ta003,36,0.000101,NA,705
FI,ta003,37,0.000133,NA,705
FI,ta003,38,8.4e-5,NA,705
FI,ta003,39,7.8e-5,NA,705
FI,ta003,40,8.1e-5,NA,705
FI,ta003,41,7.4e-5,NA,705
FI,ta003,42,7.6e-5,NA,705
FI,ta003,43,7.4e-5,NA,705
FI,ta003,44,9.1e-5,NA,705
FI,ta003,45,7.5e-5,NA,705
FI,ta003,46,0.000152,NA,705
