p,instance,rep,time,iterations,value
0.0,ta001,1,0.000168,NA,1551
0.0,ta001,2,7.9e-5,NA,1466
0.0,ta001,3,7.9e-5,NA,1309
0.0,ta001,4,0.000143,NA,1192
0.0,ta001,5,7.7e-5,NA,1086
0.0,ta001,6,6.6e-5,NA,1032
0.0,ta001,7,7.4e-5,NA,1018
0.0,ta001,8,6.5e-5,NA,987
0.0,ta001,9,0.000143,NA,953
0.0,ta001,10,0.000119,NA,906
0.0,ta001,11,0.000378,NA,906
0.0,ta001,12,9.2e-5,NA,883
0.0,ta001,13,7.8e-5,NA,883
0.0,ta001,14,6.4e-5,NA,883
0.0,ta001,15,7.5e-5,NA,883
0.05,ta001,1,7.9e-5,NA,1372
0.05,ta001,2,6.9e-5,NA,1264
0.05,ta001,3,5.4e-5,NA,1187
0.05,ta001,4,7.4e-5,NA,1129
0.05,ta001,5,8.2e-5,NA,1009
0.05,ta001,6,0.000161,NA,941
0.05,ta001,7,0.000258,NA,893
0.05,ta001,8,0.000154,NA,893
0.05,ta001,9,6.7e-5,NA,893
0.05,ta001,10,9.9e-5,NA,893
0.05,ta001,11,7.6e-5,NA,891
0.05,ta001,12,0.000142,NA,891
0.05,ta001,13,6.6e-5,NA,891
0.05,ta001,14,7.5e-5,NA,891
0.05,ta001,15,6.4e-5,NA,891
0.25,ta001,1,7.4e-5,NA,1358
0.25,ta001,2,7.3e-5,NA,1231
0.25,ta001,3,6.2e-5,NA,1206
0.25,ta001,4,5.3e-5,NA,1184
0.25,ta001,5,7.5e-5,NA,1089
0.25,ta001,6,5.9e-5,NA,1051
0.25,ta001,7,7.0e-5,NA,952
0.25,ta001,8,9.7e-5,NA,917
0.25,ta001,9,9.3e-5,NA,917
0.25,ta001,10,6.8e-5,NA,891
0.25,ta001,11,7.7e-5,NA,883
0.25,ta001,12,6.6e-5,NA,883
0.25,ta001,13,7.4e-5,NA,876
0.25,ta001,14,6.6e-5,NA,876
0.25,ta001,15,7.6e-5,NA,876
0.5,ta001,1,5.4e-5,NA,1578
0.5,ta001,2,7.0e-5,NA,1523
0.5,ta001,3,6.3e-5,NA,1426
0.5,ta001,4,7.5e-5,NA,1353
0.5,ta001,5,0.000127,NA,1321
0.5,ta001,6,6.5e-5,NA,1309
0.5,ta001,7,6.6e-5,NA,1301
